Metric,Test_Type,P_Value,Reject_H0,Subject
cpu_usage,Kruskal-Wallis,6.076051453085242e-4,Yes,binary_trees
cpu_usage,Kruskal-Wallis,0.19589204332075577,No,fasta
cpu_usage,Kruskal-Wallis,0.6670768060588488,No,float
cpu_usage,ANOVA,0.03083771478081991,Yes,mandelbrot
cpu_usage,ANOVA,0.00440438970918287,Yes,nbody
cpu_usage,ANOVA,0.5352587331594325,No,nsieve
cpu_usage,Kruskal-Wallis,4.964913663486059e-5,Yes,set_partition
cpu_usage,ANOVA,0.01503859815651731,Yes,spectral_norm
cpu_usage,ANOVA,0.15475110365622355,No,taq
energy_consumption,Kruskal-Wallis,2.861627806609183e-4,Yes,binary_trees
energy_consumption,Kruskal-Wallis,3.924483286808939e-6,Yes,fasta
energy_consumption,Kruskal-Wallis,9.774688831303264e-6,Yes,float
energy_consumption,Kruskal-Wallis,4.1909417288554976e-5,Yes,mandelbrot
energy_consumption,Kruskal-Wallis,4.046796032602703e-5,Yes,nbody
energy_consumption,Kruskal-Wallis,5.642440977549676e-5,Yes,nsieve
energy_consumption,Kruskal-Wallis,6.328525104957511e-6,Yes,set_partition
energy_consumption,Kruskal-Wallis,5.829466373086881e-5,Yes,spectral_norm
energy_consumption,Kruskal-Wallis,1.546512487889704e-5,Yes,taq
execution_time,Kruskal-Wallis,9.620667098797623e-5,Yes,binary_trees
execution_time,Kruskal-Wallis,3.924483286808939e-6,Yes,fasta
execution_time,Kruskal-Wallis,9.774688831303264e-6,Yes,float
execution_time,Kruskal-Wallis,4.1909417288554976e-5,Yes,mandelbrot
execution_time,Kruskal-Wallis,4.046796032602703e-5,Yes,nbody
execution_time,Kruskal-Wallis,5.642440977549676e-5,Yes,nsieve
execution_time,Kruskal-Wallis,6.328525104957511e-6,Yes,set_partition
execution_time,Kruskal-Wallis,2.3213669951465557e-5,Yes,spectral_norm
execution_time,Kruskal-Wallis,1.546512487889704e-5,Yes,taq
mem_usage,Kruskal-Wallis,7.476504516712353e-5,Yes,binary_trees
mem_usage,Kruskal-Wallis,9.774688831303264e-6,Yes,float
mem_usage,Kruskal-Wallis,9.4306021349406e-5,Yes,mandelbrot
mem_usage,Kruskal-Wallis,5.1937429018660266e-5,Yes,nsieve
mem_usage,Kruskal-Wallis,5.161483081480323e-5,Yes,taq
