run_number,execution_method,execution_time,SIZE
1,cpp,.3411961,2142
1,python,.323615,2142
1,codon,.3028518,2142
2,cpp,.2358678,18010
2,python,.4470908,18010
2,codon,.2776728,18010
3,cpp,.2219698,15195
3,python,.482902,15195
3,codon,.2219116,15195
4,cpp,.217662,10740
4,python,.34551,10740
4,codon,.251883,10740
5,cpp,.260392,14631
5,python,.367126,14631
5,codon,.2442849,14631
6,cpp,.2464818,20223
6,python,.366188,20223
6,codon,.228838,20223
7,cpp,.316019,24045
7,python,.5642722,24045
7,codon,.220639,24045
8,cpp,.2495408,1101
8,python,.3412922,1101
8,codon,.228162,1101
9,cpp,.2517269,26124
9,python,.348173,26124
9,codon,.2288251,26124
10,cpp,.231328,5544
10,python,.3196397,5544
10,codon,.244676,5544
